employee_id,age,department,years_at_company,monthly_salary,overtime_hours,satisfaction,remote_days_per_week,has_promotion,attrition
E0001,,ENGINEERING,12,5845.23,,5,0,No,1
E0002,25,r&d,16,3402.31,2,4,3,yes,0
E0003,27,hr,13,2531.02,18,1,1,0,0
E0004,58,Support,12,2477.7,7,1,4,YES,0
E0005,48,ENGINEERING,17,2859.64,,5,,YES,0
E0006,59,Support,20,,3,5,5,yes,1
E0007,25,Support,6,24500.0,17,4,2,NO,1
E0008,51,Marketing,9,3591.19,,2,0,0,0
E0009,55,HR,10,6284.89,9,5,0,yes,1
E0010,48,ENGINEERING,24,4115.51,15,4,0,yes,1
E0011,58,finance,10,4104.69,,,3,0,0
E0012,26,R&D,2,7490.21,15,,0,1,1
E0013,58,support,14,3793.73,12,3,0,NO,0
E0014,,Support,3,4964.68,6,3,1,Y,0
E0015,47,r&d,15,2651.26,14,4,4,1,0
E0016,,R&D,17,3759.16,13,3,5,no,0
E0017,31,engineering,5,3047.27,21,2,0,NO,1
E0018,,sales,9,,13,5,2,0,1
E0019,42,ENGINEERING,22,7011.53,,1,3,N,0
E0020,47,marketing,12,2779.81,20,4,0,Y,0
E0021,35,HR,5,2815.6,19,1,,Yes,1
E0022,31,hr,3,7514.11,19,1,0,Y,1
E0023,46,ENGINEERING,20,3612.64,,5,2,NO,0
E0024,29,R&D,15,7761.38,14,4,3,1,0
E0025,31,engineering,23,4118.76,8,4,5,YES,1
E0026,23,Sales,16,4225.81,22,5,0,N,0
E0027,27,Finance,8,5103.02,5,3,1,N,1
E0028,54,Marketing,20,3449.03,25,2,1,no,1
E0029,,Sales,16,,23,1,0,1,0
E0030,38,Sales,22,5588.78,11,4,5,No,0
E0031,27,Sales,3,3470.34,,3,1,NO,1
E0032,22,HR,20,4126.44,20,,5,yes,0
E0033,34,HR,5,4629.98,,3,0,-,0
E0034,47,Finance,2,6258.87,5,2,,YES,1
E0035,51,finance,20,3018.58,19,4,5,No,0
E0036,57,hr,4,,25,1,4,YES,0
E0037,,R&D,6,,,3,4,Y,1
E0038,42,sales,17,4546.47,4,1,5,No,0
E0039,59,R&D,16,4555.52,16,2,4,YES,1
E0040,,Engineering,14,6548.43,19,1,1,YES,0
E0041,,Support,23,2873.89,1,3,5,N,1
E0042,57,HR,25,6548.34,17,1,1,Y,0
E0043,24,finance,3,5043.2,17,1,0,NO,0
E0044,54,Support,16,3316.66,8,4,4,N,0
E0045,,Sales,22,5129.97,8,5,,NO,0
E0046,,engineering,12,4675.86,2,2,3,yes,0
E0047,41,finance,3,7223.35,120,3,1,1,0
E0048,51,Sales,23,7534.02,12,4,1,?,0
E0049,49,hr,12,4099.05,6,3,2,?,1
E0050,45,Engineering,10,5302.68,14,1,3,No,1
E0051,40,hr,2,2831.96,25,2,0,yes,0
E0052,39,Engineering,24,3216.69,24,2,3,1,0
E0053,31,hr,16,5395.33,22,3,0,1,0
E0054,33,marketing,2,3705.97,0,1,,yes,1
E0055,36,engineering,8,7031.54,14,1,2,N,0
E0056,39,Support,4,2441.95,22,2,0,YES,0
E0057,25,ENGINEERING,6,7420.58,,3,4,Y,0
E0058,50,hr,21,3196.24,120,1,2,Yes,0
E0059,23,Finance,16,5285.88,6,,3,Y,0
E0060,28,support,20,4620.19,15,5,3,N,0
E0061,35,Sales,10,,,2,3,No,0
E0062,30,Engineering,2,,8,4,1,Yes,0
E0063,46,R&D,16,5955.04,9,5,1,1,0
E0064,51,ENGINEERING,5,3706.61,0,3,2,No,1
E0065,42,Sales,1,7607.73,9,,2,YES,0
E0066,43,marketing,2,4858.0,16,2,1,N,0
E0067,27,,2,,18,1,3,Yes,0
E0068,,support,7,24500.0,16,2,5,0,0
E0069,42,Finance,15,3036.99,23,5,5,YES,0
E0070,54,support,13,6309.57,25,5,1,N,1
E0071,58,R&D,25,2290.05,,5,5,Y,0
E0072,23,Engineering,-2,5767.87,3,4,3,N,0
E0073,23,support,17,6011.72,15,3,0,NO,0
E0074,54,r&d,17,2714.87,16,1,5,NO,0
E0075,26,,8,3514.8,24,,1,NO,0
E0076,46,engineering,15,,9,1,4,Y,0
E0077,60,ENGINEERING,10,3622.07,23,3,4,0,0
E0078,22,HR,1,4920.47,21,1,,Y,1
E0079,53,sales,22,5092.6,14,4,3,yes,1
E0080,34,sales,2,7443.02,0,3,3,yes,1
E0081,50,sales,12,,6,1,,yes,0
E0082,55,sales,11,24500.0,20,5,2,yes,1
E0083,,Sales,15,7227.15,15,4,0,YES,0
E0084,53,support,14,4470.35,23,2,3,No,0
E0085,42,engineering,10,2209.75,24,3,3,yes,0
E0086,22,r&d,23,3823.06,,1,3,no,1
E0087,26,Marketing,13,6431.68,1,3,0,Yes,1
E0088,40,support,4,3596.22,8,4,4,No,0
E0089,45,finance,13,,25,4,4,N/A,0
E0090,27,Engineering,23,4500.96,19,2,5,1,0

